# STEP   STRAN(1)    STRAN(2)    STRAN(3)   STRESS(1)   STRESS(2)   STRESS(1)    OMEGA(1)    OMEGA(2)    OMEGA(3)   fd0
   38  0.0000E+00  0.0000E+00  0.7600E-03  0.1179E+08  0.1179E+08  0.4420E+08  0.0000E+00  0.0000E+00  0.2861E-01  0.4343E-04
   39  0.0000E+00  0.0000E+00  0.7800E-03  0.1200E+08  0.1200E+08  0.4498E+08  0.0000E+00  0.0000E+00  0.2962E-01  0.4572E-04
   40  0.0000E+00  0.0000E+00  0.8000E-03  0.1221E+08  0.1221E+08  0.4575E+08  0.0000E+00  0.0000E+00  0.3064E-01  0.4792E-04
   41  0.0000E+00  0.0000E+00  0.8200E-03  0.1241E+08  0.1241E+08  0.4650E+08  0.0000E+00  0.0000E+00  0.3166E-01  0.5005E-04
   42  0.0000E+00  0.0000E+00  0.8400E-03  0.1261E+08  0.1261E+08  0.4724E+08  0.0000E+00  0.0000E+00  0.3268E-01  0.5208E-04
   43  0.0000E+00  0.0000E+00  0.8600E-03  0.1281E+08  0.1281E+08  0.4797E+08  0.0000E+00  0.0000E+00  0.3370E-01  0.5402E-04
   44  0.0000E+00  0.0000E+00  0.8800E-03  0.1300E+08  0.1300E+08  0.4869E+08  0.0000E+00  0.0000E+00  0.3472E-01  0.5586E-04
   45  0.0000E+00  0.0000E+00  0.9000E-03  0.1319E+08  0.1319E+08  0.4940E+08  0.0000E+00  0.0000E+00  0.3574E-01  0.5761E-04
   46  0.0000E+00  0.0000E+00  0.9200E-03  0.1338E+08  0.1338E+08  0.5010E+08  0.0000E+00  0.0000E+00  0.3675E-01  0.5925E-04
   47  0.0000E+00  0.0000E+00  0.9400E-03  0.1356E+08  0.1356E+08  0.5078E+08  0.0000E+00  0.0000E+00  0.3777E-01  0.6080E-04
   48  0.0000E+00  0.0000E+00  0.9600E-03  0.1375E+08  0.1375E+08  0.5146E+08  0.0000E+00  0.0000E+00  0.3878E-01  0.6225E-04
   49  0.0000E+00  0.0000E+00  0.9800E-03  0.1393E+08  0.1393E+08  0.5213E+08  0.0000E+00  0.0000E+00  0.3979E-01  0.6360E-04
   50  0.0000E+00  0.0000E+00  0.1000E-02  0.1410E+08  0.1410E+08  0.5279E+08  0.0000E+00  0.0000E+00  0.4080E-01  0.6485E-04
   51  0.0000E+00  0.0000E+00  0.1020E-02  0.1428E+08  0.1428E+08  0.5343E+08  0.0000E+00  0.0000E+00  0.4181E-01  0.6601E-04
   52  0.0000E+00  0.0000E+00  0.1040E-02  0.1445E+08  0.1445E+08  0.5407E+08  0.0000E+00  0.0000E+00  0.4281E-01  0.6708E-04
   53  0.0000E+00  0.0000E+00  0.1060E-02  0.1462E+08  0.1462E+08  0.5470E+08  0.0000E+00  0.0000E+00  0.4382E-01  0.6806E-04
   54  0.0000E+00  0.0000E+00  0.1080E-02  0.1479E+08  0.1479E+08  0.5532E+08  0.0000E+00  0.0000E+00  0.4482E-01  0.6895E-04
   55  0.0000E+00  0.0000E+00  0.1100E-02  0.1495E+08  0.1495E+08  0.5594E+08  0.0000E+00  0.0000E+00  0.4582E-01  0.6975E-04
   56  0.0000E+00  0.0000E+00  0.1120E-02  0.1512E+08  0.1512E+08  0.5654E+08  0.0000E+00  0.0000E+00  0.4682E-01  0.7048E-04
   57  0.0000E+00  0.0000E+00  0.1140E-02  0.1528E+08  0.1528E+08  0.5714E+08  0.0000E+00  0.0000E+00  0.4781E-01  0.7112E-04
   58  0.0000E+00  0.0000E+00  0.1160E-02  0.1544E+08  0.1544E+08  0.5773E+08  0.0000E+00  0.0000E+00  0.4881E-01  0.7170E-04
   59  0.0000E+00  0.0000E+00  0.1180E-02  0.1560E+08  0.1560E+08  0.5832E+08  0.0000E+00  0.0000E+00  0.4980E-01  0.7220E-04
   60  0.0000E+00  0.0000E+00  0.1200E-02  0.1575E+08  0.1575E+08  0.5889E+08  0.0000E+00  0.0000E+00  0.5079E-01  0.7263E-04
   61  0.0000E+00  0.0000E+00  0.1220E-02  0.1591E+08  0.1591E+08  0.5946E+08  0.0000E+00  0.0000E+00  0.5177E-01  0.7299E-04
   62  0.0000E+00  0.0000E+00  0.1240E-02  0.1606E+08  0.1606E+08  0.6003E+08  0.0000E+00  0.0000E+00  0.5276E-01  0.7330E-04
   63  0.0000E+00  0.0000E+00  0.1260E-02  0.1621E+08  0.1621E+08  0.6058E+08  0.0000E+00  0.0000E+00  0.5374E-01  0.7354E-04
   64  0.0000E+00  0.0000E+00  0.1280E-02  0.1636E+08  0.1636E+08  0.6113E+08  0.0000E+00  0.0000E+00  0.5472E-01  0.7373E-04
   65  0.0000E+00  0.0000E+00  0.1300E-02  0.1651E+08  0.1651E+08  0.6167E+08  0.0000E+00  0.0000E+00  0.5570E-01  0.7386E-04
   66  0.0000E+00  0.0000E+00  0.1320E-02  0.1665E+08  0.1665E+08  0.6221E+08  0.0000E+00  0.0000E+00  0.5667E-01  0.7394E-04
   67  0.0000E+00  0.0000E+00  0.1340E-02  0.1680E+08  0.1680E+08  0.6274E+08  0.0000E+00  0.0000E+00  0.5764E-01  0.7398E-04
   68  0.0000E+00  0.0000E+00  0.1360E-02  0.1694E+08  0.1694E+08  0.6327E+08  0.0000E+00  0.0000E+00  0.5861E-01  0.7397E-04
   69  0.0000E+00  0.0000E+00  0.1380E-02  0.1708E+08  0.1708E+08  0.6379E+08  0.0000E+00  0.0000E+00  0.5958E-01  0.7391E-04
   70  0.0000E+00  0.0000E+00  0.1400E-02  0.1722E+08  0.1722E+08  0.6430E+08  0.0000E+00  0.0000E+00  0.6054E-01  0.7382E-04
   71  0.0000E+00  0.0000E+00  0.1420E-02  0.1736E+08  0.1736E+08  0.6481E+08  0.0000E+00  0.0000E+00  0.6151E-01  0.7369E-04
   72  0.0000E+00  0.0000E+00  0.1440E-02  0.1749E+08  0.1749E+08  0.6531E+08  0.0000E+00  0.0000E+00  0.6246E-01  0.7352E-04
   73  0.0000E+00  0.0000E+00  0.1460E-02  0.1763E+08  0.1763E+08  0.6581E+08  0.0000E+00  0.0000E+00  0.6342E-01  0.7332E-04
   74  0.0000E+00  0.0000E+00  0.1480E-02  0.1776E+08  0.1776E+08  0.6631E+08  0.0000E+00  0.0000E+00  0.6438E-01  0.7309E-04
   75  0.0000E+00  0.0000E+00  0.1500E-02  0.1790E+08  0.1790E+08  0.6680E+08  0.0000E+00  0.0000E+00  0.6533E-01  0.7283E-04
   76  0.0000E+00  0.0000E+00  0.1520E-02  0.1803E+08  0.1803E+08  0.6728E+08  0.0000E+00  0.0000E+00  0.6628E-01  0.7254E-04
   77  0.0000E+00  0.0000E+00  0.1540E-02  0.1816E+08  0.1816E+08  0.6776E+08  0.0000E+00  0.0000E+00  0.6723E-01  0.7223E-04
   78  0.0000E+00  0.0000E+00  0.1560E-02  0.1829E+08  0.1829E+08  0.6823E+08  0.0000E+00  0.0000E+00  0.6817E-01  0.7190E-04
   79  0.0000E+00  0.0000E+00  0.1580E-02  0.1842E+08  0.1842E+08  0.6870E+08  0.0000E+00  0.0000E+00  0.6911E-01  0.7154E-04
   80  0.0000E+00  0.0000E+00  0.1600E-02  0.1854E+08  0.1854E+08  0.6917E+08  0.0000E+00  0.0000E+00  0.7005E-01  0.7116E-04
   81  0.0000E+00  0.0000E+00  0.1620E-02  0.1867E+08  0.1867E+08  0.6963E+08  0.0000E+00  0.0000E+00  0.7099E-01  0.7076E-04
   82  0.0000E+00  0.0000E+00  0.1640E-02  0.1879E+08  0.1879E+08  0.7009E+08  0.0000E+00  0.0000E+00  0.7192E-01  0.7035E-04
   83  0.0000E+00  0.0000E+00  0.1660E-02  0.1892E+08  0.1892E+08  0.7054E+08  0.0000E+00  0.0000E+00  0.7286E-01  0.6992E-04
   84  0.0000E+00  0.0000E+00  0.1680E-02  0.1904E+08  0.1904E+08  0.7099E+08  0.0000E+00  0.0000E+00  0.7379E-01  0.6947E-04
   85  0.0000E+00  0.0000E+00  0.1700E-02  0.1916E+08  0.1916E+08  0.7143E+08  0.0000E+00  0.0000E+00  0.7471E-01  0.6902E-04
   86  0.0000E+00  0.0000E+00  0.1720E-02  0.1928E+08  0.1928E+08  0.7187E+08  0.0000E+00  0.0000E+00  0.7564E-01  0.6855E-04
   87  0.0000E+00  0.0000E+00  0.1740E-02  0.1940E+08  0.1940E+08  0.7231E+08  0.0000E+00  0.0000E+00  0.7656E-01  0.6806E-04
   88  0.0000E+00  0.0000E+00  0.1760E-02  0.1952E+08  0.1952E+08  0.7274E+08  0.0000E+00  0.0000E+00  0.7748E-01  0.6757E-04
   89  0.0000E+00  0.0000E+00  0.1780E-02  0.1964E+08  0.1964E+08  0.7317E+08  0.0000E+00  0.0000E+00  0.7840E-01  0.6707E-04
   90  0.0000E+00  0.0000E+00  0.1800E-02  0.1975E+08  0.1975E+08  0.7360E+08  0.0000E+00  0.0000E+00  0.7932E-01  0.6656E-04
   91  0.0000E+00  0.0000E+00  0.1820E-02  0.1987E+08  0.1987E+08  0.7402E+08  0.0000E+00  0.0000E+00  0.8023E-01  0.6605E-04
   92  0.0000E+00  0.0000E+00  0.1840E-02  0.1998E+08  0.1998E+08  0.7444E+08  0.0000E+00  0.0000E+00  0.8114E-01  0.6553E-04
   93  0.0000E+00  0.0000E+00  0.1860E-02  0.2010E+08  0.2010E+08  0.7486E+08  0.0000E+00  0.0000E+00  0.8205E-01  0.6500E-04
   94  0.0000E+00  0.0000E+00  0.1880E-02  0.2021E+08  0.2021E+08  0.7527E+08  0.0000E+00  0.0000E+00  0.8296E-01  0.6446E-04
   95  0.0000E+00  0.0000E+00  0.1900E-02  0.2032E+08  0.2032E+08  0.7568E+08  0.0000E+00  0.0000E+00  0.8386E-01  0.6393E-04
   96  0.0000E+00  0.0000E+00  0.1920E-02  0.2043E+08  0.2043E+08  0.7609E+08  0.0000E+00  0.0000E+00  0.8476E-01  0.6338E-04
   97  0.0000E+00  0.0000E+00  0.1940E-02  0.2054E+08  0.2054E+08  0.7649E+08  0.0000E+00  0.0000E+00  0.8566E-01  0.6284E-04
   98  0.0000E+00  0.0000E+00  0.1960E-02  0.2065E+08  0.2065E+08  0.7689E+08  0.0000E+00  0.0000E+00  0.8656E-01  0.6229E-04
   99  0.0000E+00  0.0000E+00  0.1980E-02  0.2076E+08  0.2076E+08  0.7729E+08  0.0000E+00  0.0000E+00  0.8746E-01  0.6174E-04
  100  0.0000E+00  0.0000E+00  0.2000E-02  0.2087E+08  0.2087E+08  0.7768E+08  0.0000E+00  0.0000E+00  0.8835E-01  0.6119E-04
  101  0.0000E+00  0.0000E+00  0.2020E-02  0.2097E+08  0.2097E+08  0.7807E+08  0.0000E+00  0.0000E+00  0.8924E-01  0.6064E-04
  102  0.0000E+00  0.0000E+00  0.2040E-02  0.2108E+08  0.2108E+08  0.7846E+08  0.0000E+00  0.0000E+00  0.9013E-01  0.6009E-04
