# STEP   STRAN(1)    STRAN(2)    STRAN(3)   STRESS(1)   STRESS(2)   STRESS(1)    OMEGA(1)    OMEGA(2)    OMEGA(3)   fd0
  156  0.0000E+00  0.0000E+00  0.3120E-02  0.2596E+08  0.2596E+08  0.9615E+08  0.0000E+00  0.0000E+00  0.1353E+00  0.3486E-04
  157  0.0000E+00  0.0000E+00  0.3140E-02  0.2604E+08  0.2604E+08  0.9643E+08  0.0000E+00  0.0000E+00  0.1361E+00  0.3451E-04
  158  0.0000E+00  0.0000E+00  0.3160E-02  0.2612E+08  0.2612E+08  0.9671E+08  0.0000E+00  0.0000E+00  0.1369E+00  0.3416E-04
  159  0.0000E+00  0.0000E+00  0.3180E-02  0.2619E+08  0.2619E+08  0.9699E+08  0.0000E+00  0.0000E+00  0.1377E+00  0.3382E-04
  160  0.0000E+00  0.0000E+00  0.3200E-02  0.2627E+08  0.2627E+08  0.9726E+08  0.0000E+00  0.0000E+00  0.1385E+00  0.3348E-04
  161  0.0000E+00  0.0000E+00  0.3220E-02  0.2635E+08  0.2635E+08  0.9754E+08  0.0000E+00  0.0000E+00  0.1393E+00  0.3314E-04
  162  0.0000E+00  0.0000E+00  0.3240E-02  0.2642E+08  0.2642E+08  0.9781E+08  0.0000E+00  0.0000E+00  0.1401E+00  0.3281E-04
  163  0.0000E+00  0.0000E+00  0.3260E-02  0.2650E+08  0.2650E+08  0.9809E+08  0.0000E+00  0.0000E+00  0.1409E+00  0.3248E-04
  164  0.0000E+00  0.0000E+00  0.3280E-02  0.2658E+08  0.2658E+08  0.9836E+08  0.0000E+00  0.0000E+00  0.1416E+00  0.3216E-04
  165  0.0000E+00  0.0000E+00  0.3300E-02  0.2665E+08  0.2665E+08  0.9863E+08  0.0000E+00  0.0000E+00  0.1424E+00  0.3184E-04
  166  0.0000E+00  0.0000E+00  0.3320E-02  0.2673E+08  0.2673E+08  0.9890E+08  0.0000E+00  0.0000E+00  0.1432E+00  0.3152E-04
  167  0.0000E+00  0.0000E+00  0.3340E-02  0.2680E+08  0.2680E+08  0.9917E+08  0.0000E+00  0.0000E+00  0.1440E+00  0.3121E-04
  168  0.0000E+00  0.0000E+00  0.3360E-02  0.2688E+08  0.2688E+08  0.9944E+08  0.0000E+00  0.0000E+00  0.1448E+00  0.3090E-04
  169  0.0000E+00  0.0000E+00  0.3380E-02  0.2695E+08  0.2695E+08  0.9970E+08  0.0000E+00  0.0000E+00  0.1455E+00  0.3059E-04
  170  0.0000E+00  0.0000E+00  0.3400E-02  0.2702E+08  0.2702E+08  0.9997E+08  0.0000E+00  0.0000E+00  0.1463E+00  0.3029E-04
  171  0.0000E+00  0.0000E+00  0.3420E-02  0.2710E+08  0.2710E+08  0.1002E+09  0.0000E+00  0.0000E+00  0.1471E+00  0.2999E-04
  172  0.0000E+00  0.0000E+00  0.3440E-02  0.2717E+08  0.2717E+08  0.1005E+09  0.0000E+00  0.0000E+00  0.1479E+00  0.2969E-04
  173  0.0000E+00  0.0000E+00  0.3460E-02  0.2724E+08  0.2724E+08  0.1008E+09  0.0000E+00  0.0000E+00  0.1486E+00  0.2940E-04
  174  0.0000E+00  0.0000E+00  0.3480E-02  0.2732E+08  0.2732E+08  0.1010E+09  0.0000E+00  0.0000E+00  0.1494E+00  0.2911E-04
  175  0.0000E+00  0.0000E+00  0.3500E-02  0.2739E+08  0.2739E+08  0.1013E+09  0.0000E+00  0.0000E+00  0.1502E+00  0.2883E-04
  176  0.0000E+00  0.0000E+00  0.3520E-02  0.2746E+08  0.2746E+08  0.1015E+09  0.0000E+00  0.0000E+00  0.1509E+00  0.2854E-04
  177  0.0000E+00  0.0000E+00  0.3540E-02  0.2753E+08  0.2753E+08  0.1018E+09  0.0000E+00  0.0000E+00  0.1517E+00  0.2827E-04
  178  0.0000E+00  0.0000E+00  0.3560E-02  0.2760E+08  0.2760E+08  0.1020E+09  0.0000E+00  0.0000E+00  0.1525E+00  0.2799E-04
  179  0.0000E+00  0.0000E+00  0.3580E-02  0.2767E+08  0.2767E+08  0.1023E+09  0.0000E+00  0.0000E+00  0.1532E+00  0.2772E-04
  180  0.0000E+00  0.0000E+00  0.3600E-02  0.2775E+08  0.2775E+08  0.1026E+09  0.0000E+00  0.0000E+00  0.1540E+00  0.2745E-04
  181  0.0000E+00  0.0000E+00  0.3620E-02  0.2782E+08  0.2782E+08  0.1028E+09  0.0000E+00  0.0000E+00  0.1547E+00  0.2718E-04
  182  0.0000E+00  0.0000E+00  0.3640E-02  0.2789E+08  0.2789E+08  0.1031E+09  0.0000E+00  0.0000E+00  0.1555E+00  0.2692E-04
  183  0.0000E+00  0.0000E+00  0.3660E-02  0.2796E+08  0.2796E+08  0.1033E+09  0.0000E+00  0.0000E+00  0.1563E+00  0.2666E-04
  184  0.0000E+00  0.0000E+00  0.3680E-02  0.2803E+08  0.2803E+08  0.1036E+09  0.0000E+00  0.0000E+00  0.1570E+00  0.2640E-04
  185  0.0000E+00  0.0000E+00  0.3700E-02  0.2810E+08  0.2810E+08  0.1038E+09  0.0000E+00  0.0000E+00  0.1578E+00  0.2615E-04
  186  0.0000E+00  0.0000E+00  0.3720E-02  0.2816E+08  0.2816E+08  0.1041E+09  0.0000E+00  0.0000E+00  0.1585E+00  0.2590E-04
  187  0.0000E+00  0.0000E+00  0.3740E-02  0.2823E+08  0.2823E+08  0.1043E+09  0.0000E+00  0.0000E+00  0.1593E+00  0.2565E-04
  188  0.0000E+00  0.0000E+00  0.3760E-02  0.2830E+08  0.2830E+08  0.1045E+09  0.0000E+00  0.0000E+00  0.1600E+00  0.2541E-04
  189  0.0000E+00  0.0000E+00  0.3780E-02  0.2837E+08  0.2837E+08  0.1048E+09  0.0000E+00  0.0000E+00  0.1608E+00  0.2517E-04
  190  0.0000E+00  0.0000E+00  0.3800E-02  0.2844E+08  0.2844E+08  0.1050E+09  0.0000E+00  0.0000E+00  0.1615E+00  0.2493E-04
  191  0.0000E+00  0.0000E+00  0.3820E-02  0.2851E+08  0.2851E+08  0.1053E+09  0.0000E+00  0.0000E+00  0.1623E+00  0.2469E-04
  192  0.0000E+00  0.0000E+00  0.3840E-02  0.2857E+08  0.2857E+08  0.1055E+09  0.0000E+00  0.0000E+00  0.1630E+00  0.2446E-04
  193  0.0000E+00  0.0000E+00  0.3860E-02  0.2864E+08  0.2864E+08  0.1058E+09  0.0000E+00  0.0000E+00  0.1638E+00  0.2422E-04
  194  0.0000E+00  0.0000E+00  0.3880E-02  0.2871E+08  0.2871E+08  0.1060E+09  0.0000E+00  0.0000E+00  0.1645E+00  0.2400E-04
  195  0.0000E+00  0.0000E+00  0.3900E-02  0.2878E+08  0.2878E+08  0.1062E+09  0.0000E+00  0.0000E+00  0.1652E+00  0.2377E-04
  196  0.0000E+00  0.0000E+00  0.3920E-02  0.2884E+08  0.2884E+08  0.1065E+09  0.0000E+00  0.0000E+00  0.1660E+00  0.2355E-04
  197  0.0000E+00  0.0000E+00  0.3940E-02  0.2891E+08  0.2891E+08  0.1067E+09  0.0000E+00  0.0000E+00  0.1667E+00  0.2333E-04
  198  0.0000E+00  0.0000E+00  0.3960E-02  0.2898E+08  0.2898E+08  0.1070E+09  0.0000E+00  0.0000E+00  0.1675E+00  0.2311E-04
  199  0.0000E+00  0.0000E+00  0.3980E-02  0.2904E+08  0.2904E+08  0.1072E+09  0.0000E+00  0.0000E+00  0.1682E+00  0.2289E-04
  200  0.0000E+00  0.0000E+00  0.4000E-02  0.2911E+08  0.2911E+08  0.1074E+09  0.0000E+00  0.0000E+00  0.1689E+00  0.2268E-04
  201  0.0000E+00  0.0000E+00  0.4020E-02  0.2917E+08  0.2917E+08  0.1077E+09  0.0000E+00  0.0000E+00  0.1697E+00  0.2247E-04
  202  0.0000E+00  0.0000E+00  0.4040E-02  0.2924E+08  0.2924E+08  0.1079E+09  0.0000E+00  0.0000E+00  0.1704E+00  0.2226E-04
  203  0.0000E+00  0.0000E+00  0.4060E-02  0.2930E+08  0.2930E+08  0.1081E+09  0.0000E+00  0.0000E+00  0.1712E+00  0.2206E-04
  204  0.0000E+00  0.0000E+00  0.4080E-02  0.2937E+08  0.2937E+08  0.1084E+09  0.0000E+00  0.0000E+00  0.1719E+00  0.2185E-04
  205  0.0000E+00  0.0000E+00  0.4100E-02  0.2943E+08  0.2943E+08  0.1086E+09  0.0000E+00  0.0000E+00  0.1726E+00  0.2165E-04
  206  0.0000E+00  0.0000E+00  0.4120E-02  0.2950E+08  0.2950E+08  0.1088E+09  0.0000E+00  0.0000E+00  0.1733E+00  0.2145E-04
  207  0.0000E+00  0.0000E+00  0.4140E-02  0.2956E+08  0.2956E+08  0.1090E+09  0.0000E+00  0.0000E+00  0.1741E+00  0.2126E-04
  208  0.0000E+00  0.0000E+00  0.4160E-02  0.2963E+08  0.2963E+08  0.1093E+09  0.0000E+00  0.0000E+00  0.1748E+00  0.2106E-04
  209  0.0000E+00  0.0000E+00  0.4180E-02  0.2969E+08  0.2969E+08  0.1095E+09  0.0000E+00  0.0000E+00  0.1755E+00  0.2087E-04
  210  0.0000E+00  0.0000E+00  0.4200E-02  0.2975E+08  0.2975E+08  0.1097E+09  0.0000E+00  0.0000E+00  0.1763E+00  0.2068E-04
  211  0.0000E+00  0.0000E+00  0.4220E-02  0.2982E+08  0.2982E+08  0.1100E+09  0.0000E+00  0.0000E+00  0.1770E+00  0.2049E-04
  212  0.0000E+00  0.0000E+00  0.4240E-02  0.2988E+08  0.2988E+08  0.1102E+09  0.0000E+00  0.0000E+00  0.1777E+00  0.2031E-04
  213  0.0000E+00  0.0000E+00  0.4260E-02  0.2994E+08  0.2994E+08  0.1104E+09  0.0000E+00  0.0000E+00  0.1784E+00  0.2013E-04
  214  0.0000E+00  0.0000E+00  0.4280E-02  0.3001E+08  0.3001E+08  0.1106E+09  0.0000E+00  0.0000E+00  0.1792E+00  0.1994E-04
  215  0.0000E+00  0.0000E+00  0.4300E-02  0.3007E+08  0.3007E+08  0.1108E+09  0.0000E+00  0.0000E+00  0.1799E+00  0.1976E-04
  216  0.0000E+00  0.0000E+00  0.4320E-02  0.3013E+08  0.3013E+08  0.1111E+09  0.0000E+00  0.0000E+00  0.1806E+00  0.1959E-04
  217  0.0000E+00  0.0000E+00  0.4340E-02  0.3019E+08  0.3019E+08  0.1113E+09  0.0000E+00  0.0000E+00  0.1813E+00  0.1941E-04
  218  0.0000E+00  0.0000E+00  0.4360E-02  0.3026E+08  0.3026E+08  0.1115E+09  0.0000E+00  0.0000E+00  0.1820E+00  0.1924E-04
  219  0.0000E+00  0.0000E+00  0.4380E-02  0.3032E+08  0.3032E+08  0.1117E+09  0.0000E+00  0.0000E+00  0.1828E+00  0.1907E-04
  220  0.0000E+00  0.0000E+00  0.4400E-02  0.3038E+08  0.3038E+08  0.1119E+09  0.0000E+00  0.0000E+00  0.1835E+00  0.1890E-04
  221  0.0000E+00  0.0000E+00  0.4420E-02  0.3044E+08  0.3044E+08  0.1122E+09  0.0000E+00  0.0000E+00  0.1842E+00  0.1873E-04
  222  0.0000E+00  0.0000E+00  0.4440E-02  0.3050E+08  0.3050E+08  0.1124E+09  0.0000E+00  0.0000E+00  0.1849E+00  0.1857E-04
  223  0.0000E+00  0.0000E+00  0.4460E-02  0.3056E+08  0.3056E+08  0.1126E+09  0.0000E+00  0.0000E+00  0.1856E+00  0.1840E-04
  224  0.0000E+00  0.0000E+00  0.4480E-02  0.3062E+08  0.3062E+08  0.1128E+09  0.0000E+00  0.0000E+00  0.1863E+00  0.1824E-04
  225  0.0000E+00  0.0000E+00  0.4500E-02  0.3068E+08  0.3068E+08  0.1130E+09  0.0000E+00  0.0000E+00  0.1870E+00  0.1808E-04
  226  0.0000E+00  0.0000E+00  0.4520E-02  0.3074E+08  0.3074E+08  0.1132E+09  0.0000E+00  0.0000E+00  0.1877E+00  0.1792E-04
  227  0.0000E+00  0.0000E+00  0.4540E-02  0.3080E+08  0.3080E+08  0.1135E+09  0.0000E+00  0.0000E+00  0.1885E+00  0.1776E-04
  228  0.0000E+00  0.0000E+00  0.4560E-02  0.3086E+08  0.3086E+08  0.1137E+09  0.0000E+00  0.0000E+00  0.1892E+00  0.1761E-04
  229  0.0000E+00  0.0000E+00  0.4580E-02  0.3092E+08  0.3092E+08  0.1139E+09  0.0000E+00  0.0000E+00  0.1899E+00  0.1746E-04
  230  0.0000E+00  0.0000E+00  0.4600E-02  0.3098E+08  0.3098E+08  0.1141E+09  0.0000E+00  0.0000E+00  0.1906E+00  0.1731E-04
  231  0.0000E+00  0.0000E+00  0.4620E-02  0.3104E+08  0.3104E+08  0.1143E+09  0.0000E+00  0.0000E+00  0.1913E+00  0.1716E-04
  232  0.0000E+00  0.0000E+00  0.4640E-02  0.3110E+08  0.3110E+08  0.1145E+09  0.0000E+00  0.0000E+00  0.1920E+00  0.1701E-04
  233  0.0000E+00  0.0000E+00  0.4660E-02  0.3116E+08  0.3116E+08  0.1147E+09  0.0000E+00  0.0000E+00  0.1927E+00  0.1686E-04
  234  0.0000E+00  0.0000E+00  0.4680E-02  0.3122E+08  0.3122E+08  0.1149E+09  0.0000E+00  0.0000E+00  0.1934E+00  0.1672E-04
  235  0.0000E+00  0.0000E+00  0.4700E-02  0.3128E+08  0.3128E+08  0.1151E+09  0.0000E+00  0.0000E+00  0.1941E+00  0.1657E-04
  236  0.0000E+00  0.0000E+00  0.4720E-02  0.3134E+08  0.3134E+08  0.1154E+09  0.0000E+00  0.0000E+00  0.1948E+00  0.1643E-04
  237  0.0000E+00  0.0000E+00  0.4740E-02  0.3140E+08  0.3140E+08  0.1156E+09  0.0000E+00  0.0000E+00  0.1955E+00  0.1629E-04
  238  0.0000E+00  0.0000E+00  0.4760E-02  0.3146E+08  0.3146E+08  0.1158E+09  0.0000E+00  0.0000E+00  0.1962E+00  0.1615E-04
  239  0.0000E+00  0.0000E+00  0.4780E-02  0.3151E+08  0.3151E+08  0.1160E+09  0.0000E+00  0.0000E+00  0.1969E+00  0.1601E-04
  240  0.0000E+00  0.0000E+00  0.4800E-02  0.3157E+08  0.3157E+08  0.1162E+09  0.0000E+00  0.0000E+00  0.1976E+00  0.1588E-04
  241  0.0000E+00  0.0000E+00  0.4820E-02  0.3163E+08  0.3163E+08  0.1164E+09  0.0000E+00  0.0000E+00  0.1983E+00  0.1574E-04
  242  0.0000E+00  0.0000E+00  0.4840E-02  0.3169E+08  0.3169E+08  0.1166E+09  0.0000E+00  0.0000E+00  0.1990E+00  0.1561E-04
  243  0.0000E+00  0.0000E+00  0.4860E-02  0.3175E+08  0.3175E+08  0.1168E+09  0.0000E+00  0.0000E+00  0.1997E+00  0.1548E-04
  244  0.0000E+00  0.0000E+00  0.4880E-02  0.3180E+08  0.3180E+08  0.1170E+09  0.0000E+00  0.0000E+00  0.2004E+00  0.1535E-04
  245  0.0000E+00  0.0000E+00  0.4900E-02  0.3186E+08  0.3186E+08  0.1172E+09  0.0000E+00  0.0000E+00  0.2011E+00  0.1522E-04
  246  0.0000E+00  0.0000E+00  0.4920E-02  0.3192E+08  0.3192E+08  0.1174E+09  0.0000E+00  0.0000E+00  0.2018E+00  0.1509E-04
  247  0.0000E+00  0.0000E+00  0.4940E-02  0.3197E+08  0.3197E+08  0.1176E+09  0.0000E+00  0.0000E+00  0.2025E+00  0.1497E-04
  248  0.0000E+00  0.0000E+00  0.4960E-02  0.3203E+08  0.3203E+08  0.1178E+09  0.0000E+00  0.0000E+00  0.2032E+00  0.1484E-04
  249  0.0000E+00  0.0000E+00  0.4980E-02  0.3209E+08  0.3209E+08  0.1180E+09  0.0000E+00  0.0000E+00  0.2038E+00  0.1472E-04
  250  0.0000E+00  0.0000E+00  0.5000E-02  0.3214E+08  0.3214E+08  0.1182E+09  0.0000E+00  0.0000E+00  0.2045E+00  0.1460E-04
  251  0.0000E+00  0.0000E+00  0.5020E-02  0.3220E+08  0.3220E+08  0.1184E+09  0.0000E+00  0.0000E+00  0.2052E+00  0.1448E-04
  252  0.0000E+00  0.0000E+00  0.5040E-02  0.3226E+08  0.3226E+08  0.1186E+09  0.0000E+00  0.0000E+00  0.2059E+00  0.1436E-04
  253  0.0000E+00  0.0000E+00  0.5060E-02  0.3231E+08  0.3231E+08  0.1188E+09  0.0000E+00  0.0000E+00  0.2066E+00  0.1424E-04
  254  0.0000E+00  0.0000E+00  0.5080E-02  0.3237E+08  0.3237E+08  0.1190E+09  0.0000E+00  0.0000E+00  0.2073E+00  0.1412E-04
  255  0.0000E+00  0.0000E+00  0.5100E-02  0.3242E+08  0.3242E+08  0.1192E+09  0.0000E+00  0.0000E+00  0.2080E+00  0.1401E-04
  256  0.0000E+00  0.0000E+00  0.5120E-02  0.3248E+08  0.3248E+08  0.1194E+09  0.0000E+00  0.0000E+00  0.2086E+00  0.1389E-04
  257  0.0000E+00  0.0000E+00  0.5140E-02  0.3253E+08  0.3253E+08  0.1196E+09  0.0000E+00  0.0000E+00  0.2093E+00  0.1378E-04
  258  0.0000E+00  0.0000E+00  0.5160E-02  0.3259E+08  0.3259E+08  0.1198E+09  0.0000E+00  0.0000E+00  0.2100E+00  0.1367E-04
  259  0.0000E+00  0.0000E+00  0.5180E-02  0.3264E+08  0.3264E+08  0.1200E+09  0.0000E+00  0.0000E+00  0.2107E+00  0.1356E-04
  260  0.0000E+00  0.0000E+00  0.5200E-02  0.3270E+08  0.3270E+08  0.1202E+09  0.0000E+00  0.0000E+00  0.2114E+00  0.1345E-04
  261  0.0000E+00  0.0000E+00  0.5220E-02  0.3275E+08  0.3275E+08  0.1204E+09  0.0000E+00  0.0000E+00  0.2121E+00  0.1334E-04
  262  0.0000E+00  0.0000E+00  0.5240E-02  0.3281E+08  0.3281E+08  0.1205E+09  0.0000E+00  0.0000E+00  0.2127E+00  0.1323E-04
  263  0.0000E+00  0.0000E+00  0.5260E-02  0.3286E+08  0.3286E+08  0.1207E+09  0.0000E+00  0.0000E+00  0.2134E+00  0.1313E-04
  264  0.0000E+00  0.0000E+00  0.5280E-02  0.3292E+08  0.3292E+08  0.1209E+09  0.0000E+00  0.0000E+00  0.2141E+00  0.1302E-04
  265  0.0000E+00  0.0000E+00  0.5300E-02  0.3297E+08  0.3297E+08  0.1211E+09  0.0000E+00  0.0000E+00  0.2148E+00  0.1292E-04
  266  0.0000E+00  0.0000E+00  0.5320E-02  0.3303E+08  0.3303E+08  0.1213E+09  0.0000E+00  0.0000E+00  0.2154E+00  0.1281E-04
  267  0.0000E+00  0.0000E+00  0.5340E-02  0.3308E+08  0.3308E+08  0.1215E+09  0.0000E+00  0.0000E+00  0.2161E+00  0.1271E-04
  268  0.0000E+00  0.0000E+00  0.5360E-02  0.3313E+08  0.3313E+08  0.1217E+09  0.0000E+00  0.0000E+00  0.2168E+00  0.1261E-04
  269  0.0000E+00  0.0000E+00  0.5380E-02  0.3319E+08  0.3319E+08  0.1219E+09  0.0000E+00  0.0000E+00  0.2175E+00  0.1251E-04
  270  0.0000E+00  0.0000E+00  0.5400E-02  0.3324E+08  0.3324E+08  0.1221E+09  0.0000E+00  0.0000E+00  0.2181E+00  0.1241E-04
  271  0.0000E+00  0.0000E+00  0.5420E-02  0.3329E+08  0.3329E+08  0.1223E+09  0.0000E+00  0.0000E+00  0.2188E+00  0.1231E-04
  272  0.0000E+00  0.0000E+00  0.5440E-02  0.3335E+08  0.3335E+08  0.1224E+09  0.0000E+00  0.0000E+00  0.2195E+00  0.1222E-04
  273  0.0000E+00  0.0000E+00  0.5460E-02  0.3340E+08  0.3340E+08  0.1226E+09  0.0000E+00  0.0000E+00  0.2201E+00  0.1212E-04
  274  0.0000E+00  0.0000E+00  0.5480E-02  0.3345E+08  0.3345E+08  0.1228E+09  0.0000E+00  0.0000E+00  0.2208E+00  0.1203E-04
  275  0.0000E+00  0.0000E+00  0.5500E-02  0.3351E+08  0.3351E+08  0.1230E+09  0.0000E+00  0.0000E+00  0.2215E+00  0.1193E-04
  276  0.0000E+00  0.0000E+00  0.5520E-02  0.3356E+08  0.3356E+08  0.1232E+09  0.0000E+00  0.0000E+00  0.2222E+00  0.1184E-04
  277  0.0000E+00  0.0000E+00  0.5540E-02  0.3361E+08  0.3361E+08  0.1234E+09  0.0000E+00  0.0000E+00  0.2228E+00  0.1175E-04
  278  0.0000E+00  0.0000E+00  0.5560E-02  0.3366E+08  0.3366E+08  0.1236E+09  0.0000E+00  0.0000E+00  0.2235E+00  0.1166E-04
  279  0.0000E+00  0.0000E+00  0.5580E-02  0.3372E+08  0.3372E+08  0.1237E+09  0.0000E+00  0.0000E+00  0.2242E+00  0.1157E-04
  280  0.0000E+00  0.0000E+00  0.5600E-02  0.3377E+08  0.3377E+08  0.1239E+09  0.0000E+00  0.0000E+00  0.2248E+00  0.1148E-04
  281  0.0000E+00  0.0000E+00  0.5620E-02  0.3382E+08  0.3382E+08  0.1241E+09  0.0000E+00  0.0000E+00  0.2255E+00  0.1139E-04
  282  0.0000E+00  0.0000E+00  0.5640E-02  0.3387E+08  0.3387E+08  0.1243E+09  0.0000E+00  0.0000E+00  0.2261E+00  0.1130E-04
  283  0.0000E+00  0.0000E+00  0.5660E-02  0.3392E+08  0.3392E+08  0.1245E+09  0.0000E+00  0.0000E+00  0.2268E+00  0.1121E-04
  284  0.0000E+00  0.0000E+00  0.5680E-02  0.3398E+08  0.3398E+08  0.1247E+09  0.0000E+00  0.0000E+00  0.2275E+00  0.1113E-04
  285  0.0000E+00  0.0000E+00  0.5700E-02  0.3403E+08  0.3403E+08  0.1248E+09  0.0000E+00  0.0000E+00  0.2281E+00  0.1104E-04
  286  0.0000E+00  0.0000E+00  0.5720E-02  0.3408E+08  0.3408E+08  0.1250E+09  0.0000E+00  0.0000E+00  0.2288E+00  0.1096E-04
  287  0.0000E+00  0.0000E+00  0.5740E-02  0.3413E+08  0.3413E+08  0.1252E+09  0.0000E+00  0.0000E+00  0.2295E+00  0.1088E-04
  288  0.0000E+00  0.0000E+00  0.5760E-02  0.3418E+08  0.3418E+08  0.1254E+09  0.0000E+00  0.0000E+00  0.2301E+00  0.1079E-04
  289  0.0000E+00  0.0000E+00  0.5780E-02  0.3423E+08  0.3423E+08  0.1256E+09  0.0000E+00  0.0000E+00  0.2308E+00  0.1071E-04
  290  0.0000E+00  0.0000E+00  0.5800E-02  0.3428E+08  0.3428E+08  0.1257E+09  0.0000E+00  0.0000E+00  0.2314E+00  0.1063E-04
  291  0.0000E+00  0.0000E+00  0.5820E-02  0.3433E+08  0.3433E+08  0.1259E+09  0.0000E+00  0.0000E+00  0.2321E+00  0.1055E-04
  292  0.0000E+00  0.0000E+00  0.5840E-02  0.3438E+08  0.3438E+08  0.1261E+09  0.0000E+00  0.0000E+00  0.2327E+00  0.1047E-04
  293  0.0000E+00  0.0000E+00  0.5860E-02  0.3443E+08  0.3443E+08  0.1263E+09  0.0000E+00  0.0000E+00  0.2334E+00  0.1039E-04
  294  0.0000E+00  0.0000E+00  0.5880E-02  0.3449E+08  0.3449E+08  0.1264E+09  0.0000E+00  0.0000E+00  0.2341E+00  0.1031E-04
  295  0.0000E+00  0.0000E+00  0.5900E-02  0.3454E+08  0.3454E+08  0.1266E+09  0.0000E+00  0.0000E+00  0.2347E+00  0.1024E-04
  296  0.0000E+00  0.0000E+00  0.5920E-02  0.3459E+08  0.3459E+08  0.1268E+09  0.0000E+00  0.0000E+00  0.2354E+00  0.1016E-04
  297  0.0000E+00  0.0000E+00  0.5940E-02  0.3464E+08  0.3464E+08  0.1270E+09  0.0000E+00  0.0000E+00  0.2360E+00  0.1009E-04
  298  0.0000E+00  0.0000E+00  0.5960E-02  0.3469E+08  0.3469E+08  0.1272E+09  0.0000E+00  0.0000E+00  0.2367E+00  0.1001E-04
  299  0.0000E+00  0.0000E+00  0.5980E-02  0.3474E+08  0.3474E+08  0.1273E+09  0.0000E+00  0.0000E+00  0.2373E+00  0.9937E-05
  300  0.0000E+00  0.0000E+00  0.6000E-02  0.3479E+08  0.3479E+08  0.1275E+09  0.0000E+00  0.0000E+00  0.2380E+00  0.9863E-05
  301  0.0000E+00  0.0000E+00  0.6020E-02  0.3484E+08  0.3484E+08  0.1277E+09  0.0000E+00  0.0000E+00  0.2386E+00  0.9791E-05
  302  0.0000E+00  0.0000E+00  0.6040E-02  0.3489E+08  0.3489E+08  0.1278E+09  0.0000E+00  0.0000E+00  0.2393E+00  0.9719E-05
  303  0.0000E+00  0.0000E+00  0.6060E-02  0.3493E+08  0.3493E+08  0.1280E+09  0.0000E+00  0.0000E+00  0.2399E+00  0.9647E-05
  304  0.0000E+00  0.0000E+00  0.6080E-02  0.3498E+08  0.3498E+08  0.1282E+09  0.0000E+00  0.0000E+00  0.2406E+00  0.9576E-05
  305  0.0000E+00  0.0000E+00  0.6100E-02  0.3503E+08  0.3503E+08  0.1284E+09  0.0000E+00  0.0000E+00  0.2412E+00  0.9507E-05
  306  0.0000E+00  0.0000E+00  0.6120E-02  0.3508E+08  0.3508E+08  0.1285E+09  0.0000E+00  0.0000E+00  0.2419E+00  0.9437E-05
  307  0.0000E+00  0.0000E+00  0.6140E-02  0.3513E+08  0.3513E+08  0.1287E+09  0.0000E+00  0.0000E+00  0.2425E+00  0.9369E-05
  308  0.0000E+00  0.0000E+00  0.6160E-02  0.3518E+08  0.3518E+08  0.1289E+09  0.0000E+00  0.0000E+00  0.2432E+00  0.9301E-05
  309  0.0000E+00  0.0000E+00  0.6180E-02  0.3523E+08  0.3523E+08  0.1291E+09  0.0000E+00  0.0000E+00  0.2438E+00  0.9233E-05
  310  0.0000E+00  0.0000E+00  0.6200E-02  0.3528E+08  0.3528E+08  0.1292E+09  0.0000E+00  0.0000E+00  0.2444E+00  0.9167E-05
  311  0.0000E+00  0.0000E+00  0.6220E-02  0.3533E+08  0.3533E+08  0.1294E+09  0.0000E+00  0.0000E+00  0.2451E+00  0.9100E-05
  312  0.0000E+00  0.0000E+00  0.6240E-02  0.3537E+08  0.3537E+08  0.1296E+09  0.0000E+00  0.0000E+00  0.2457E+00  0.9035E-05
  313  0.0000E+00  0.0000E+00  0.6260E-02  0.3542E+08  0.3542E+08  0.1297E+09  0.0000E+00  0.0000E+00  0.2464E+00  0.8970E-05
  314  0.0000E+00  0.0000E+00  0.6280E-02  0.3547E+08  0.3547E+08  0.1299E+09  0.0000E+00  0.0000E+00  0.2470E+00  0.8906E-05
  315  0.0000E+00  0.0000E+00  0.6300E-02  0.3552E+08  0.3552E+08  0.1301E+09  0.0000E+00  0.0000E+00  0.2477E+00  0.8842E-05
  316  0.0000E+00  0.0000E+00  0.6320E-02  0.3557E+08  0.3557E+08  0.1302E+09  0.0000E+00  0.0000E+00  0.2483E+00  0.8779E-05
  317  0.0000E+00  0.0000E+00  0.6340E-02  0.3562E+08  0.3562E+08  0.1304E+09  0.0000E+00  0.0000E+00  0.2489E+00  0.8716E-05
  318  0.0000E+00  0.0000E+00  0.6360E-02  0.3566E+08  0.3566E+08  0.1306E+09  0.0000E+00  0.0000E+00  0.2496E+00  0.8655E-05
  319  0.0000E+00  0.0000E+00  0.6380E-02  0.3571E+08  0.3571E+08  0.1307E+09  0.0000E+00  0.0000E+00  0.2502E+00  0.8593E-05
  320  0.0000E+00  0.0000E+00  0.6400E-02  0.3576E+08  0.3576E+08  0.1309E+09  0.0000E+00  0.0000E+00  0.2508E+00  0.8533E-05
  321  0.0000E+00  0.0000E+00  0.6420E-02  0.3581E+08  0.3581E+08  0.1311E+09  0.0000E+00  0.0000E+00  0.2515E+00  0.8472E-05
  322  0.0000E+00  0.0000E+00  0.6440E-02  0.3585E+08  0.3585E+08  0.1312E+09  0.0000E+00  0.0000E+00  0.2521E+00  0.8413E-05
